request_id,user_id,date,event_id,source_event_id,event_type,category,description,direction,amount_original,currency,amount_home_currency,status,settled_or_projected,recurrence_source,message_image_evidence,included,reason,at_trough_date
request_02,user_02,2025-08-07,event_138@2025-08-07,event_138,expense,utilities,Municipal utilities,debit,2141849.94,IDR,2141849.94,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-08,event_139@2025-08-08,event_139,expense,insurance,Household insurance,debit,1132400,IDR,1132400,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-08,event_185,,expense,shopping,Pending merchant debit,debit,1651100,IDR,1651100,pending,explicit,structured,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-09,event_140@2025-08-09,event_140,expense,education,Course tuition,debit,3040000,IDR,3040000,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-11,event_141@2025-08-11,event_141,expense,healthcare,Clinic payment,debit,1641668.72,IDR,1641668.72,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-12,event_168@2025-08-12,event_168,expense,transport,Ride-hailing trip,debit,1440242.94,IDR,1440242.94,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-12,event_174@2025-08-12,event_174,expense,transport,Commuter pass,debit,1329347.44,IDR,1329347.44,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-13,event_143@2025-08-13,event_143,subscription,cloud_storage,Shared storage plan,debit,369550,IDR,369550,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,yes
request_02,user_02,2025-08-15,event_142@2025-08-15,event_142,expense,entertainment,Cinema and events,debit,1352563.79,IDR,1352563.79,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-15,message:message_01,,income,salary,confirmed salary,credit,42750000,IDR,42750000,scheduled,explicit,message:confirmed,message:confirmed,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-26,event_168@2025-08-26,event_168,expense,transport,Ride-hailing trip,debit,1440242.94,IDR,1440242.94,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-08-26,event_174@2025-08-26,event_174,expense,transport,Commuter pass,debit,1329347.44,IDR,1329347.44,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-04,event_144@2025-09-04,event_144,expense,housing,Home repair reserve,debit,3534000,IDR,3534000,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-07,event_138@2025-09-07,event_138,expense,utilities,Municipal utilities,debit,2141849.94,IDR,2141849.94,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-08,event_139@2025-09-08,event_139,expense,insurance,Household insurance,debit,1132400,IDR,1132400,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-09,event_140@2025-09-09,event_140,expense,education,Course tuition,debit,3040000,IDR,3040000,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-09,event_168@2025-09-09,event_168,expense,transport,Ride-hailing trip,debit,1440242.94,IDR,1440242.94,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-09,event_174@2025-09-09,event_174,expense,transport,Commuter pass,debit,1329347.44,IDR,1329347.44,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-11,event_141@2025-09-11,event_141,expense,healthcare,Clinic payment,debit,1641668.72,IDR,1641668.72,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
request_02,user_02,2025-09-13,event_143@2025-09-13,event_143,subscription,cloud_storage,Shared storage plan,debit,369550,IDR,369550,scheduled,projected,recurrence:max_last_3,,included,explicit or projected cash event in forecast,no
